"Inizio dei report","Fine dei report","Nome della campagna","Pubblicazione della campagna",Risultati,"Indicatore di risultato","Costo per risultati","Budget del gruppo di inserzioni","Tipo di budget del gruppo di inserzioni","Importo speso (EUR)",Impression,Copertura,Frequenza,"CPM (costo per 1000 impression) (EUR)",Acquisti,Fine,"Impostazione di attribuzione","ROAS (ritorno sulla spesa pubblicitaria) relativo agli acquisti","ROAS risultati","Indicatore di valore del risultato","Valore risultati",Visualizzazioni,"CTR (tutti)","Conversioni degli acquisti","Costo per acquisto (EUR)","Aggiunte al carrello","Acquisti promossi dallo shop","Acquisti diretti sul sito web"
2023-04-21,2026-05-21,"Traffico Broad continuativa",inactive,,,,3,Giornaliero,0,0,0,0,0,,"In corso","7 giorni dal clic o 1 giorno dalla visualizzazione",,,,,0,0,,,,0,0
2023-04-21,2026-05-21,"Brand awareness",inactive,,,,1,Giornaliero,0,0,0,0,0,,"In corso","7 giorni dal clic o 1 giorno dalla visualizzazione",,,,,0,0,,,,0,0
2023-04-21,2026-05-21,"Conversioni freddo + caldo",inactive,,,,10,Giornaliero,0,0,0,0,0,,"In corso","7 giorni dal clic o 1 giorno dalla visualizzazione",,,,,0,0,,,,0,0
2023-04-21,2026-05-21,"MOFU - Traffico alle lp - Bifosfonati",inactive,,,,3,Giornaliero,0,0,0,0,0,,"In corso","7 giorni dal clic o 1 giorno dalla visualizzazione",,,,,0,0,,,,0,0
2023-04-21,2026-05-21,"BOFU - conversione - bifosfonati",inactive,,,,"Uso del budget del gruppo di inserzioni",0,0,0,0,0,0,,"In corso","7 giorni dal clic o 1 giorno dalla visualizzazione",,,,,0,0,,,,0,0
2023-04-21,2026-05-21,"TOFU - Traffico al blog - Bifosfonati",inactive,,,,6,Giornaliero,0,0,0,0,0,,"In corso","7 giorni dal clic o 1 giorno dalla visualizzazione",,,,,0,0,,,,0,0
2023-04-21,2026-05-21,"TOFU | cold | Interazione post | broad | 29.06.22",inactive,,,,15,Giornaliero,0,0,0,0,0,,"In corso","7 giorni dal clic o 1 giorno dalla visualizzazione",,,,,0,0,,,,0,0
2023-04-21,2026-05-21,"BOFU - Riacquisto clienti unico acquisto",inactive,,,,"Uso del budget del gruppo di inserzioni",0,0,0,0,0,0,,"In corso","7 giorni dal clic o 1 giorno dalla visualizzazione",,,,,0,0,,,,0,0
2023-04-21,2026-05-21,"BOFU | hot | Purchase | intento di acquisto | 22.11",inactive,,,,"Uso del budget del gruppo di inserzioni",0,0,0,0,0,0,,"In corso","7 giorni dal clic o 1 giorno dalla visualizzazione",,,,,0,0,,,,0,0
2023-04-21,2026-05-21,"MOFU | warm | Traffico | interessi + interazione social 07.09",inactive,,,,10,Giornaliero,0,0,0,0,0,,"In corso","7 giorni dal clic o 1 giorno dalla visualizzazione",,,,,0,0,,,,0,0
