"Nome progetto","Bognolo"
"Intervallo di date","05/11/2026 00:00 - 06/11/2026 23:59"


"URL visitato corrisponde a regex","^https://bognolo\.it/iperammortamento-2026/(\?.*)?$"

"Totale sessioni","100"

"URL visitato corrisponde a regex","^https://bognolo\.it/iperammortamento-2026/(\?.*)?$"

"Data","Ora","Durata sessione","Voce URL","Esci dall'URL","Referrer:","ID utente Clarity","Browser","Dispositivo","Sistema operativo","Nazione","Numero di pagine","Clic sulla sessione","Preferiti","Collegamento registrazione"
"06/04/2026","06:35","00:15","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gbraid=0AAAAACeRRojXp0kLLdf9WXy6XlqEFYuR1&gclid=Cj0KCQjwof_QBhCgARIsADaMzOfQt5ZSuGIZ7rTNQR2NAJoIZhnoMfBYroPPmQ_1ArVUZ9NX_XzgpQcaAo0PEALw_wcB","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gbraid=0AAAAACeRRojXp0kLLdf9WXy6XlqEFYuR1&gclid=Cj0KCQjwof_QBhCgARIsADaMzOfQt5ZSuGIZ7rTNQR2NAJoIZhnoMfBYroPPmQ_1ArVUZ9NX_XzgpQcaAo0PEALw_wcB","https://www.google.com/","fnu1f2","Chrome","PC","MacOS","Italy","2","1","FALSE","https://clarity.microsoft.com/player/wqevuebs52/fnu1f2/4qfk5m/?ss=1780547708000&sd=15"
"06/03/2026","18:46","00:01","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gclid=Cj0KCQjwof_QBhCgARIsADaMzOf8dj9_ZZZOWykn0SdVvsyFuI1Pn66uv2bUj8kJoC4KC5qcBK-SQRkaAhmFEALw_wcB","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gclid=Cj0KCQjwof_QBhCgARIsADaMzOf8dj9_ZZZOWykn0SdVvsyFuI1Pn66uv2bUj8kJoC4KC5qcBK-SQRkaAhmFEALw_wcB","https://www.google.com/","1iy1zqb","ChromeMobile","Mobile","Android","Italy","1","0","FALSE","https://clarity.microsoft.com/player/wqevuebs52/1iy1zqb/jag1v6/?ss=1780505169000&sd=1"
"06/03/2026","18:06","00:06","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gclid=Cj0KCQjw_vnQBhCxARIsADcZyxLjstRgmbe7AniR9VSRvJ2U18fZywYRjd6yUJoe3FEMCA0U3iBq8P8aApIHEALw_wcB","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gclid=Cj0KCQjw_vnQBhCxARIsADcZyxLjstRgmbe7AniR9VSRvJ2U18fZywYRjd6yUJoe3FEMCA0U3iBq8P8aApIHEALw_wcB","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gclid=Cj0KCQjw_vnQBhCxARIsADcZyxLjstRgmbe7AniR9VSRvJ2U18fZywYRjd6yUJoe3FEMCA0U3iBq8P8aApIHEALw_wcB","6pd3z3","ChromeMobile","Mobile","iOS","Italy","1","0","FALSE","https://clarity.microsoft.com/player/wqevuebs52/6pd3z3/1s9qri1/?ss=1780502806000&sd=6"
"06/03/2026","17:45","05:46","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gclid=EAIaIQobChMI2vuxt6brlAMVt6KDBx0fHCsoEAAYASAAEgJ8K_D_BwE","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gclid=EAIaIQobChMI2vuxt6brlAMVt6KDBx0fHCsoEAAYASAAEgJ8K_D_BwE","https://www.google.com/","dty9c8","Firefox","PC","Windows","Italy","1","0","FALSE","https://clarity.microsoft.com/player/wqevuebs52/dty9c8/n8wqcf/?ss=1780501551000&sd=346"
"06/03/2026","17:25","00:06","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gclid=EAIaIQobChMIr9PCwLDrlAMVwouDBx0FCzEwEAMYAiAAEgJIffD_BwE","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gclid=EAIaIQobChMIr9PCwLDrlAMVwouDBx0FCzEwEAMYAiAAEgJIffD_BwE","https://www.google.com/","d801f0","Firefox","PC","Windows","Italy","1","0","FALSE","https://clarity.microsoft.com/player/wqevuebs52/d801f0/3n0e9/?ss=1780500332000&sd=6"
"06/03/2026","17:21","05:03","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gclid=EAIaIQobChMI2vuxt6brlAMVt6KDBx0fHCsoEAAYASAAEgJ8K_D_BwE","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gclid=EAIaIQobChMI2vuxt6brlAMVt6KDBx0fHCsoEAAYASAAEgJ8K_D_BwE","https://www.google.com/","1xq023g","Firefox","PC","Windows","Italy","1","0","FALSE","https://clarity.microsoft.com/player/wqevuebs52/1xq023g/imktpj/?ss=1780500117000&sd=303"
"06/03/2026","17:06","05:05","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gclid=EAIaIQobChMI2vuxt6brlAMVt6KDBx0fHCsoEAAYASAAEgJ8K_D_BwE","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gclid=EAIaIQobChMI2vuxt6brlAMVt6KDBx0fHCsoEAAYASAAEgJ8K_D_BwE","https://www.google.com/","17rbf9f","Firefox","PC","Windows","Italy","1","0","FALSE","https://clarity.microsoft.com/player/wqevuebs52/17rbf9f/piszk3/?ss=1780499216000&sd=305"
"06/03/2026","16:43","00:02","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gbraid=0AAAAACeRRoiuBG0Cr9Xz5XO4xSc6tj-X9&gclid=Cj0KCQjwof_QBhCgARIsADaMzOfz2pkzCj3R2eG46DNRBgy48vVIbQM2_J1kYMoMS6ljPixnWlfsytMaAsq9EALw_wcB","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gbraid=0AAAAACeRRoiuBG0Cr9Xz5XO4xSc6tj-X9&gclid=Cj0KCQjwof_QBhCgARIsADaMzOfz2pkzCj3R2eG46DNRBgy48vVIbQM2_J1kYMoMS6ljPixnWlfsytMaAsq9EALw_wcB","https://www.google.com/","c8x8j0","Chrome","PC","ChromeOS","Italy","1","0","FALSE","https://clarity.microsoft.com/player/wqevuebs52/c8x8j0/fppupz/?ss=1780497817000&sd=2"
"06/03/2026","16:42","00:33","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gbraid=0AAAAACeRRoiuBG0Cr9Xz5XO4xSc6tj-X9&gclid=Cj0KCQjwof_QBhCgARIsADaMzOemNSH-fdxUAARgVBW4yczZT7sRen2cD0oTe_IBgz3MdXsZneDP56gaAjc1EALw_wcB","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gbraid=0AAAAACeRRoiuBG0Cr9Xz5XO4xSc6tj-X9&gclid=Cj0KCQjwof_QBhCgARIsADaMzOemNSH-fdxUAARgVBW4yczZT7sRen2cD0oTe_IBgz3MdXsZneDP56gaAjc1EALw_wcB","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gbraid=0AAAAACeRRoiuBG0Cr9Xz5XO4xSc6tj-X9&gclid=Cj0KCQjwof_QBhCgARIsADaMzOemNSH-fdxUAARgVBW4yczZT7sRen2cD0oTe_IBgz3MdXsZneDP56gaAjc1EALw_wcB","c4q6om","Chrome","PC","ChromeOS","Italy","1","0","FALSE","https://clarity.microsoft.com/player/wqevuebs52/c4q6om/1kcoa8t/?ss=1780497779000&sd=33"
"06/03/2026","16:42","00:07","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gbraid=0AAAAACeRRoiuBG0Cr9Xz5XO4xSc6tj-X9&gclid=Cj0KCQjwof_QBhCgARIsADaMzOemNSH-fdxUAARgVBW4yczZT7sRen2cD0oTe_IBgz3MdXsZneDP56gaAjc1EALw_wcB","https://bognolo.it/iperammortamento-2026/?gad_source=1&gad_campaignid=23832089955&gbraid=0AAAAACeRRoiuBG0Cr9Xz5XO4xSc6tj-X9&gclid=Cj0KCQjwof_QBhCgARIsADaMzOemNSH-fdxUAARgVBW4yczZT7sRen2cD0oTe_IBgz3MdXsZneDP56gaAjc1EALw_wcB","https://www.google.com/","1754h5p","Chrome","PC","ChromeOS","Italy","1","2","FALSE","https://clarity.microsoft.com/player/wqevuebs52/1754h5p/tkouoz/?ss=1780497771000&sd=7"
